Number,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
757906,23-07-19 14:00,19,3,70,55,50,68,4,15,24,6,58,53,78,17,34,41,61,12,29,49
757907,23-07-19 14:05,73,32,2,12,62,27,8,68,31,3,21,75,76,34,20,46,29,64,37,1
757908,23-07-19 14:10,72,39,46,15,61,54,77,55,53,18,38,73,66,50,22,43,36,78,80,51
757909,23-07-19 14:15,69,73,39,8,45,63,9,60,68,22,3,62,47,61,59,51,50,38,72,29
757910,23-07-19 14:20,52,47,22,34,67,62,57,17,40,30,21,43,8,41,71,60,51,6,58,15
757911,23-07-19 14:25,33,30,19,3,21,16,76,50,12,7,68,37,25,40,2,39,11,66,35,41
757912,23-07-19 14:30,70,54,1,14,59,18,45,76,35,42,12,62,66,20,27,34,69,78,38,37
757913,23-07-19 14:35,75,27,61,65,13,31,45,17,24,47,73,3,40,70,64,25,7,28,60,79
757914,23-07-19 14:40,17,48,9,36,46,38,23,6,5,11,57,7,35,49,22,76,47,14,34,39
757915,23-07-19 14:45,58,34,80,53,18,66,1,32,46,56,16,48,55,40,35,33,30,74,42,43
757916,23-07-19 14:50,65,32,25,43,4,72,7,67,33,20,80,46,15,1,23,37,41,56,42,61
757917,23-07-19 14:55,40,28,61,74,78,25,76,77,37,12,21,53,79,75,50,3,1,32,70,60
757918,23-07-19 15:00,74,59,70,36,56,22,52,51,64,15,73,43,69,20,33,27,4,46,3,44
757919,23-07-19 15:05,48,2,11,33,53,6,79,74,40,10,1,65,60,68,55,5,25,66,72,54
757920,23-07-19 15:10,79,12,68,13,20,17,38,62,23,77,21,18,31,60,64,75,37,46,59,27
757921,23-07-19 15:15,17,62,79,53,30,51,64,54,74,55,57,70,6,49,1,56,68,27,21,80
757922,23-07-19 15:20,61,69,45,10,72,40,11,58,78,56,66,29,30,12,52,54,16,14,75,34
757923,23-07-19 15:25,17,24,18,19,12,45,58,75,35,39,56,5,27,53,6,20,76,57,43,44
757924,23-07-19 15:30,48,15,23,80,34,26,74,16,12,60,73,75,68,6,65,54,71,22,66,13
757925,23-07-19 15:35,41,54,59,27,29,48,31,6,21,64,70,79,25,8,2,10,63,69,80,43
757926,23-07-19 15:40,76,37,67,75,74,65,39,30,58,41,64,16,27,24,66,71,22,35,48,78
757927,23-07-19 15:45,56,12,58,42,80,53,39,22,60,7,49,64,3,24,72,76,30,5,8,70
757928,23-07-19 15:50,57,70,32,30,78,54,50,15,12,76,68,27,28,75,61,19,48,51,31,26
757929,23-07-19 15:55,28,46,39,3,65,21,1,54,77,71,34,32,66,74,59,73,38,23,69,79
757930,23-07-19 16:00,79,75,33,27,43,17,16,41,34,25,4,58,8,65,32,68,31,66,78,56
757931,23-07-19 16:05,74,16,41,50,29,79,15,7,77,23,4,43,57,14,52,45,1,58,35,49
757932,23-07-19 16:10,61,40,32,63,3,51,79,72,20,4,29,2,11,54,36,7,47,64,37,18
757933,23-07-19 16:15,54,68,71,28,22,20,34,72,65,56,24,57,10,45,15,59,1,51,17,39
757934,23-07-19 16:20,39,48,46,14,30,32,79,63,74,49,71,6,9,67,44,25,54,18,41,51
757935,23-07-19 16:25,35,72,15,28,42,12,34,75,67,69,48,19,6,49,27,4,24,29,37,50
757936,23-07-19 16:30,50,7,26,67,3,51,73,72,4,77,13,11,9,79,76,44,75,59,12,42
757937,23-07-19 16:35,15,27,61,79,5,24,2,10,75,7,47,59,11,16,30,29,43,66,57,63
757938,23-07-19 16:40,4,80,64,31,63,44,28,22,56,25,23,35,71,74,30,45,46,37,15,58
757939,23-07-19 16:45,16,20,72,68,8,46,10,47,14,44,62,9,55,34,19,54,49,52,35,58
757940,23-07-19 16:50,16,46,79,17,2,78,28,51,20,7,68,31,61,45,74,57,42,62,30,41
757941,23-07-19 16:55,40,52,31,64,78,22,17,20,35,68,49,36,53,6,24,38,61,11,3,1
757942,23-07-19 17:00,7,53,68,64,66,30,46,26,57,50,63,29,37,25,38,56,72,73,34,74
757943,23-07-19 17:05,13,54,31,59,23,3,43,39,56,71,10,62,64,28,2,40,63,20,22,21
757944,23-07-19 17:10,46,32,9,8,4,71,12,80,13,7,34,40,17,38,61,70,22,3,53,63
757945,23-07-19 17:15,79,36,24,3,7,2,34,10,6,75,47,33,73,46,59,5,32,13,39,27
757946,23-07-19 17:20,39,29,75,4,38,1,13,2,77,9,63,17,23,71,69,40,68,16,79,25
757947,23-07-19 17:25,5,13,35,53,79,77,11,25,58,66,28,56,45,40,64,15,71,63,60,46
757948,23-07-19 17:30,51,34,29,3,74,45,28,54,78,79,9,40,69,4,23,57,14,31,20,30
757949,23-07-19 17:35,66,70,35,12,40,50,42,11,44,5,18,60,7,72,39,46,19,15,31,76
757950,23-07-19 17:40,73,52,48,32,17,10,6,45,5,70,28,59,49,79,43,56,11,44,74,42
757951,23-07-19 17:45,48,43,27,50,34,20,63,38,53,11,13,14,49,17,26,21,6,10,18,8
757952,23-07-19 17:50,29,22,23,34,52,3,8,53,59,51,19,69,2,6,13,72,65,42,24,37
757953,23-07-19 17:55,68,58,47,33,59,2,51,63,18,61,41,66,19,25,56,55,1,67,76,34
757954,23-07-19 18:00,34,65,6,47,17,18,23,57,24,68,36,45,78,10,13,5,8,64,58,27
757955,23-07-19 18:05,25,3,26,57,18,35,7,52,19,6,60,2,69,51,48,29,23,34,17,32
757956,23-07-19 18:10,35,27,17,55,9,12,2,37,40,3,63,68,38,18,72,14,79,25,48,15
757957,23-07-19 18:15,20,21,17,54,72,53,48,66,8,22,46,9,78,16,1,5,69,18,79,42
757958,23-07-19 18:20,74,13,72,12,67,1,64,6,50,2,66,71,34,44,59,25,78,61,30,57
757959,23-07-19 18:25,17,29,38,53,46,9,75,22,13,37,35,59,42,14,31,72,16,1,21,3
757960,23-07-19 18:30,31,35,46,53,20,17,44,77,56,28,54,52,62,79,34,38,63,58,33,5
757961,23-07-19 18:35,15,51,53,21,28,1,77,35,41,20,59,34,40,43,65,18,50,3,10,13
757962,23-07-19 18:40,6,42,40,69,28,80,59,52,72,79,5,62,43,45,64,17,20,18,60,56
757963,23-07-19 18:45,48,74,16,43,67,60,28,17,57,2,69,44,53,63,18,3,9,11,26,75
757964,23-07-19 18:50,67,73,55,78,31,70,8,25,26,80,45,47,32,34,53,1,57,23,76,29
757965,23-07-19 18:55,35,28,72,70,79,32,48,17,5,24,36,16,51,77,53,15,38,74,58,27
757966,23-07-19 19:00,14,28,79,38,46,15,68,41,60,62,5,23,44,33,40,51,34,71,37,7
757967,23-07-19 19:05,8,77,44,21,68,56,46,67,30,45,26,15,25,57,17,47,43,59,73,79
757968,23-07-19 19:10,44,79,74,2,14,64,55,24,58,27,41,80,5,16,21,17,53,52,73,22
757969,23-07-19 19:15,23,44,24,60,17,35,65,15,41,73,66,33,50,42,39,55,25,28,10,29
757970,23-07-19 19:20,62,15,49,50,7,69,5,10,53,3,66,33,60,14,26,34,18,40,24,35
757971,23-07-19 19:25,75,28,14,55,63,10,9,8,6,20,26,3,72,73,5,4,67,41,11,23
757972,23-07-19 19:30,36,57,43,20,54,37,40,15,61,53,59,39,35,28,13,1,50,46,70,3
757973,23-07-19 19:35,16,46,10,26,31,11,62,77,73,29,34,70,76,22,45,72,19,15,14,4
757974,23-07-19 19:40,36,60,30,72,18,73,11,9,57,33,7,26,37,79,38,10,3,40,53,41
757975,23-07-19 19:45,39,73,63,50,31,7,42,4,21,8,47,32,79,17,70,57,29,18,20,3
757976,23-07-19 19:50,23,69,13,10,65,1,53,64,73,40,57,67,42,32,66,60,4,58,2,6
757977,23-07-19 19:55,68,31,44,18,58,13,63,29,19,17,53,78,34,80,22,5,12,54,42,36
757978,23-07-19 20:00,56,5,47,21,68,11,23,2,79,8,39,59,48,22,18,6,36,27,28,63
757979,23-07-19 20:05,71,53,33,21,1,16,18,75,7,2,14,62,37,13,10,30,4,69,35,72
757980,23-07-19 20:10,53,34,71,4,51,32,22,15,26,78,49,33,1,77,23,67,54,5,11,25
757981,23-07-19 20:15,78,20,65,67,70,77,52,30,18,63,75,16,7,56,64,61,62,48,22,71
757982,23-07-19 20:20,38,51,44,42,43,12,9,14,71,40,26,64,52,56,27,53,58,15,36,29
757983,23-07-19 20:25,49,76,63,45,73,7,35,47,54,56,39,52,15,18,36,12,11,1,44,4
757984,23-07-19 20:30,67,38,74,25,20,15,56,68,65,33,27,63,62,61,17,1,46,44,34,42
757985,23-07-19 20:35,1,22,67,29,46,32,66,3,77,39,13,34,27,8,58,48,45,59,19,6
757986,23-07-19 20:40,7,39,56,1,9,47,72,25,61,49,69,74,60,21,11,17,54,55,66,15
757987,23-07-19 20:45,16,50,77,74,30,60,73,42,31,72,62,55,20,45,80,19,48,66,9,8
757988,23-07-19 20:50,31,23,1,51,67,34,26,73,72,38,15,32,25,39,50,71,20,74,58,61
757989,23-07-19 20:55,35,58,38,7,3,48,55,18,37,22,33,2,62,61,43,54,64,78,59,80
757990,23-07-19 21:00,76,23,63,34,30,79,37,2,54,15,22,43,56,6,53,74,42,18,4,58
757991,23-07-19 21:05,45,32,50,77,20,2,53,22,62,24,68,65,1,73,36,69,44,39,76,30
757992,23-07-19 21:10,33,60,46,18,54,58,28,64,30,77,71,49,19,47,12,6,39,68,72,70
757993,23-07-19 21:15,11,23,4,6,78,17,44,20,48,3,80,46,72,68,57,74,76,65,28,31
757994,23-07-19 21:20,79,69,40,71,75,26,64,66,61,59,29,46,53,44,55,70,38,54,2,51
757995,23-07-19 21:25,5,29,54,17,79,12,72,9,63,23,77,76,28,53,14,4,55,11,78,73
757996,23-07-19 21:30,16,29,15,23,55,70,47,17,71,33,40,20,61,36,59,76,3,51,31,60
757997,23-07-19 21:35,31,79,54,26,60,35,7,57,38,4,34,17,58,62,2,8,50,68,32,33
757998,23-07-19 21:40,31,35,39,12,72,25,61,2,66,79,16,69,17,51,26,77,59,42,57,6
757999,23-07-19 21:45,7,37,62,6,41,19,23,4,66,42,45,67,17,30,43,5,9,27,55,12
758000,23-07-19 21:50,42,66,53,52,73,50,22,75,1,8,4,74,24,15,45,25,46,11,41,44
758001,23-07-19 21:55,6,74,73,36,7,54,80,75,51,67,1,12,66,22,32,34,62,46,5,13
758002,23-07-19 22:00,42,28,24,16,77,52,13,1,57,55,3,53,21,11,54,47,38,64,68,69
758003,23-07-19 22:05,62,13,12,73,40,79,53,65,4,76,55,64,45,24,25,7,68,78,71,27
758004,23-07-19 22:10,76,57,79,24,45,75,28,18,78,77,52,48,26,64,32,41,23,19,22,17
758005,23-07-19 22:15,30,38,39,31,43,53,76,46,73,70,37,45,59,17,65,29,27,32,5,8
758006,23-07-19 22:20,34,55,54,40,72,5,27,59,46,16,36,58,29,80,51,50,3,28,44,14
758007,23-07-19 22:25,72,38,62,80,29,73,21,44,46,23,49,66,51,59,54,10,33,70,76,19
758008,23-07-19 22:30,68,28,21,15,77,16,53,12,20,27,34,7,5,13,18,23,66,24,74,33
758009,23-07-19 22:35,4,16,6,2,46,13,20,19,54,53,60,61,25,32,8,76,34,5,74,23
758010,23-07-19 22:40,14,73,67,56,28,37,36,68,35,53,15,30,54,16,29,43,47,12,75,31
758011,23-07-19 22:45,22,42,15,21,6,70,33,71,45,17,29,47,55,74,27,64,58,31,80,48
758012,23-07-19 22:50,71,57,6,10,54,31,15,18,70,8,73,76,20,37,58,63,38,9,72,21
758013,23-07-19 22:55,59,15,58,21,53,1,42,9,13,73,78,74,10,71,65,51,80,18,27,76
758014,23-07-19 23:00,29,48,57,20,69,67,43,12,21,4,53,76,27,32,14,71,23,65,45,68
758015,23-07-19 23:05,43,74,5,56,21,62,10,59,66,48,79,57,24,41,71,40,30,69,42,17
758016,23-07-19 23:10,4,38,79,34,45,73,49,80,27,40,15,64,58,75,37,36,6,17,56,60
758017,23-07-19 23:15,9,55,1,18,79,62,45,31,43,65,21,16,54,12,2,25,60,47,80,44
758018,23-07-19 23:20,31,36,8,23,1,50,68,27,16,37,66,52,76,73,48,19,59,64,28,70
758019,23-07-19 23:25,20,17,44,31,7,61,14,27,74,69,55,29,77,35,8,50,48,64,2,28
758020,23-07-19 23:30,21,79,6,38,7,24,49,40,42,70,2,64,32,34,47,29,52,74,51,26
758021,23-07-19 23:35,36,57,43,62,17,63,60,5,38,4,71,73,18,34,55,12,9,53,66,11
758022,23-07-19 23:40,77,14,4,22,50,6,47,75,11,20,7,57,59,3,42,64,10,67,44,5
758023,23-07-19 23:45,45,65,53,41,17,46,34,26,5,74,63,62,48,38,35,47,33,68,25,30
758024,23-07-19 23:50,15,70,4,32,35,62,60,34,8,73,21,63,24,48,36,78,71,76,23,2
758025,23-07-19 23:55,35,7,66,17,43,58,46,19,47,31,13,67,38,10,24,15,29,37,45,3
758026,24-07-19 9:00,72,9,54,55,7,67,20,57,46,6,43,28,29,45,62,16,21,40,79,49
758027,24-07-19 9:05,15,43,80,8,18,67,69,68,46,53,4,29,65,25,70,74,47,5,63,7
758028,24-07-19 9:10,55,42,6,18,40,21,47,69,48,2,60,74,34,4,29,32,53,13,45,58
758029,24-07-19 9:15,79,65,9,58,77,57,13,43,60,18,12,1,11,30,73,5,19,68,69,6
758030,24-07-19 9:20,22,12,5,76,63,4,72,26,70,71,3,52,50,60,36,43,59,55,1,47
758031,24-07-19 9:25,39,62,30,56,33,60,26,80,69,15,8,55,53,43,74,17,59,36,44,4
758032,24-07-19 9:30,80,21,15,14,22,47,40,35,1,4,45,20,74,28,67,57,58,6,65,37
758033,24-07-19 9:35,77,48,7,8,30,63,9,61,3,46,40,71,11,75,15,25,26,76,4,64
758034,24-07-19 9:40,76,49,44,43,80,62,2,79,48,39,6,52,77,69,45,63,46,32,23,19
758035,24-07-19 9:45,13,29,54,68,20,16,7,72,47,37,38,63,49,21,26,4,51,48,24,40
758036,24-07-19 9:50,43,66,55,78,39,9,72,31,5,26,45,64,25,10,33,27,41,17,68,71
758037,24-07-19 9:55,14,67,78,39,48,24,3,6,65,51,38,74,44,37,35,54,62,63,1,34
758038,24-07-19 10:00,2,18,17,61,39,51,6,5,48,74,47,27,72,32,38,16,73,14,13,24
758039,24-07-19 10:05,73,7,49,74,53,79,22,44,29,64,19,21,33,9,80,32,75,8,70,37
758040,24-07-19 10:10,66,57,72,73,41,62,33,19,42,21,18,68,9,15,61,45,4,44,1,6
758041,24-07-19 10:15,77,43,1,7,48,49,14,11,18,69,63,34,24,35,19,42,53,66,54,60
758042,24-07-19 10:20,23,51,24,8,13,26,78,5,48,61,30,58,31,41,79,40,9,16,77,74
758043,24-07-19 10:25,43,56,4,41,51,73,62,45,54,32,49,30,13,11,29,61,39,21,27,44
758044,24-07-19 10:30,56,13,8,20,36,55,1,35,51,42,10,59,7,27,57,15,11,21,48,12
758045,24-07-19 10:35,61,29,78,70,67,68,33,65,11,49,3,15,13,79,45,4,9,74,1,37
758046,24-07-19 10:40,33,53,3,16,64,6,11,70,12,39,48,59,31,73,42,7,57,50,23,10
758047,24-07-19 10:45,14,19,61,21,59,58,51,9,24,68,36,38,55,32,56,33,62,78,20,2
758048,24-07-19 10:50,80,19,4,57,49,3,36,68,29,17,59,47,8,21,62,15,10,14,9,31
758049,24-07-19 10:55,7,78,28,24,77,65,17,6,32,73,15,22,2,4,55,40,30,44,52,12
758050,24-07-19 11:00,42,61,67,53,13,56,36,58,11,79,16,59,43,44,19,25,40,62,55,4
758051,24-07-19 11:05,67,24,74,64,66,2,65,11,19,63,68,26,51,55,6,71,57,16,37,12
758052,24-07-19 11:10,2,58,50,45,67,55,4,26,37,59,34,10,32,43,75,49,62,77,69,44
758053,24-07-19 11:15,44,73,45,6,8,56,67,52,20,27,30,2,49,42,17,43,25,46,51,57
758054,24-07-19 11:20,29,4,37,19,51,70,58,78,13,77,52,59,28,71,64,7,61,36,73,23
758055,24-07-19 11:25,39,60,42,18,69,49,73,65,25,31,51,62,72,20,55,32,50,1,11,22
758056,24-07-19 11:30,39,40,47,24,69,43,53,78,44,58,2,16,76,45,33,34,18,56,3,73
758057,24-07-19 11:35,10,49,42,76,66,54,16,14,36,20,60,48,5,3,78,11,4,8,41,46
758058,24-07-19 11:40,69,46,53,37,78,8,50,49,17,39,42,31,44,62,26,56,25,65,18,33
758059,24-07-19 11:45,2,80,11,15,77,39,50,21,56,54,68,46,67,45,41,20,55,52,4,24
758060,24-07-19 11:50,50,77,44,31,12,16,47,13,25,7,40,45,49,63,55,74,28,22,24,37
758061,24-07-19 11:55,77,60,8,53,34,6,20,35,59,78,13,27,64,56,18,41,75,16,69,58
758062,24-07-19 12:00,3,49,20,57,78,41,47,21,79,11,33,64,15,61,65,80,18,29,19,42
758063,24-07-19 12:05,23,76,2,60,17,51,55,52,6,75,50,10,73,41,20,32,74,9,34,57
758064,24-07-19 12:10,79,63,69,47,57,67,75,65,36,4,39,59,25,12,27,61,62,2,26,78
758065,24-07-19 12:15,12,33,75,4,76,47,64,11,17,22,77,38,3,1,25,65,43,21,40,29
758066,24-07-19 12:20,71,63,53,10,23,27,80,34,41,79,75,78,76,65,30,11,37,4,25,33
758067,24-07-19 12:25,50,79,67,29,40,11,35,44,5,33,52,73,78,1,55,61,3,72,74,20
758068,24-07-19 12:30,33,18,14,37,29,52,28,69,27,68,10,2,74,43,80,32,59,38,53,15
758069,24-07-19 12:35,23,69,60,61,11,35,5,32,59,66,33,74,10,56,48,26,31,25,15,38
758070,24-07-19 12:40,42,39,65,22,60,4,7,20,50,48,9,77,35,8,66,63,29,68,28,25
758071,24-07-19 12:45,24,69,53,18,34,51,29,27,52,19,23,73,77,49,43,72,61,3,14,40
758072,24-07-19 12:50,52,59,31,10,7,30,35,44,51,12,55,6,65,19,68,15,13,57,47,36
758073,24-07-19 12:55,1,17,71,53,70,79,45,25,67,51,5,43,15,36,68,27,60,23,11,13
758074,24-07-19 13:00,56,5,16,54,1,7,46,8,75,66,32,44,17,19,79,77,62,18,60,38
758075,24-07-19 13:05,59,44,28,64,65,3,47,27,2,58,36,32,18,57,62,52,30,37,7,33
758076,24-07-19 13:10,67,51,49,16,19,1,56,35,38,59,28,69,3,64,62,39,23,77,2,25
758077,24-07-19 13:15,17,24,15,63,25,41,4,47,66,71,51,3,45,60,67,55,20,61,22,1
758078,24-07-19 13:20,1,57,67,50,15,25,14,4,44,51,20,32,11,71,35,17,28,34,70,46
758079,24-07-19 13:25,69,41,8,76,31,9,33,11,47,12,61,13,49,18,68,66,59,40,75,52
758080,24-07-19 13:30,52,49,40,27,21,65,75,8,20,55,41,72,70,15,22,63,73,56,78,7
758081,24-07-19 13:35,41,55,32,16,69,31,51,46,70,38,39,36,65,45,21,66,44,80,7,60
758082,24-07-19 13:40,48,16,67,7,70,51,76,25,3,41,74,35,46,61,14,12,27,6,28,33
758083,24-07-19 13:45,11,3,52,24,38,60,79,5,43,2,28,70,32,34,13,40,12,39,66,27
758084,24-07-19 13:50,29,67,42,30,15,32,57,40,24,41,38,76,4,59,20,78,55,49,26,71
758085,24-07-19 13:55,77,10,78,57,37,18,25,44,12,71,73,3,46,19,56,68,53,33,15,13
758086,24-07-19 14:00,73,80,32,12,54,46,11,57,10,15,41,77,47,69,39,3,68,26,35,49
758087,24-07-19 14:05,19,16,12,4,67,80,46,62,52,41,27,45,13,1,20,29,59,33,8,44
758088,24-07-19 14:10,11,79,34,62,32,67,53,24,2,51,3,65,38,4,39,46,33,9,64,44
758089,24-07-19 14:15,5,71,49,38,50,39,62,27,14,8,55,51,56,34,35,64,13,29,78,75
758090,24-07-19 14:20,78,44,41,39,67,76,34,22,61,20,35,32,8,43,66,45,49,24,10,7
758091,24-07-19 14:25,63,53,9,37,20,29,51,8,77,70,1,62,17,18,45,52,27,56,41,74
758092,24-07-19 14:30,12,52,71,36,20,62,40,15,70,31,43,59,3,21,45,4,28,35,63,2
758093,24-07-19 14:35,35,78,75,33,70,17,31,77,6,23,68,53,9,51,14,54,55,15,65,5
758094,24-07-19 14:40,24,68,22,34,62,7,39,10,51,37,59,63,18,40,80,36,3,56,15,76
758095,24-07-19 14:45,75,80,39,3,60,49,38,50,54,6,35,15,58,44,37,36,23,59,55,21
758096,24-07-19 14:50,3,57,49,78,64,12,48,72,40,53,69,14,21,68,54,8,11,46,65,31
758097,24-07-19 14:55,27,16,7,41,29,18,65,12,36,47,23,72,24,63,38,26,46,76,11,10
758098,24-07-19 15:00,30,50,49,26,4,41,22,53,37,64,70,29,27,75,79,62,33,17,5,78
758099,24-07-19 15:05,64,3,16,25,48,7,1,11,21,43,41,66,40,20,35,38,44,67,57,74
758100,24-07-19 15:10,5,42,4,9,27,45,24,56,3,80,11,52,38,13,39,6,71,25,8,57
758101,24-07-19 15:15,45,7,16,9,72,74,26,44,43,65,31,19,32,3,66,79,40,51,28,71
758102,24-07-19 15:20,21,78,72,13,40,48,41,6,63,11,10,8,65,45,35,61,55,62,20,32
758103,24-07-19 15:25,16,54,56,72,49,3,35,23,64,76,50,80,36,25,11,32,17,1,31,19
758104,24-07-19 15:30,20,24,72,31,26,38,7,29,50,63,79,46,74,56,1,14,61,51,40,33
758105,24-07-19 15:35,22,4,8,56,42,16,33,9,31,65,64,78,1,66,15,50,43,19,21,48
758106,24-07-19 15:40,43,60,4,70,16,79,49,26,5,66,21,80,76,22,64,20,31,23,24,50
758107,24-07-19 15:45,49,12,57,25,39,8,53,21,52,63,70,30,23,10,34,38,6,64,68,14
758108,24-07-19 15:50,40,56,51,45,66,13,22,62,75,67,73,3,57,31,21,29,63,77,35,64
758109,24-07-19 15:55,78,25,54,44,73,71,7,28,65,59,75,14,35,76,26,74,22,40,72,31
758110,24-07-19 16:00,45,14,2,34,19,47,26,7,57,35,17,36,61,9,49,70,24,46,40,71
758111,24-07-19 16:05,54,25,15,47,79,78,63,45,58,56,76,17,22,71,12,2,16,14,23,31
758112,24-07-19 16:10,13,11,52,60,35,7,12,46,55,64,39,43,53,80,72,44,56,15,58,6
758113,24-07-19 16:15,62,39,61,6,69,28,79,72,22,32,74,71,59,3,38,75,63,24,65,64
758114,24-07-19 16:20,75,61,64,40,8,79,33,77,3,5,6,63,53,19,23,7,68,26,76,42
758115,24-07-19 16:25,65,78,58,30,9,70,28,17,77,11,7,63,44,26,46,69,38,55,15,16
758116,24-07-19 16:30,2,5,80,15,40,20,27,63,8,9,17,36,77,68,52,34,79,4,21,41
758117,24-07-19 16:35,72,10,28,77,67,6,69,13,59,62,20,68,76,35,27,44,46,48,18,71
758118,24-07-19 16:40,8,56,37,10,53,75,74,31,76,30,13,59,63,12,78,28,51,36,61,55
758119,24-07-19 16:45,36,12,13,25,33,48,62,10,29,40,58,22,18,52,7,72,17,20,42,19
758120,24-07-19 16:50,4,68,74,15,36,78,55,21,3,46,63,70,40,62,6,79,41,50,42,53
758121,24-07-19 16:55,34,25,6,49,42,21,7,10,66,37,20,23,70,54,64,28,78,44,15,18
758122,24-07-19 17:00,36,37,66,6,24,45,50,68,80,53,39,23,73,47,10,75,17,67,16,51
758123,24-07-19 17:05,50,44,31,59,35,15,19,29,12,63,76,41,42,57,20,65,61,74,34,79
758124,24-07-19 17:10,80,25,8,44,62,40,64,43,58,29,15,54,79,65,21,2,4,32,47,48
758125,24-07-19 17:15,24,6,16,41,49,35,62,52,34,69,2,5,4,26,7,10,67,61,64,8
758126,24-07-19 17:20,33,31,16,13,44,12,43,74,52,23,14,36,10,69,15,76,28,20,66,56
758127,24-07-19 17:25,32,33,11,65,48,55,28,15,42,46,10,59,71,4,51,64,21,77,39,18
758128,24-07-19 17:30,30,51,54,63,25,21,48,28,38,29,35,59,55,10,41,31,4,2,78,17
758129,24-07-19 17:35,77,41,47,66,53,61,80,44,8,62,14,50,2,18,29,40,35,70,49,67
758130,24-07-19 17:40,68,14,21,9,31,39,5,11,35,7,49,51,48,64,77,16,30,17,69,15
758131,24-07-19 17:45,40,7,59,1,20,25,37,13,35,29,31,48,67,57,47,69,68,16,72,58
758132,24-07-19 17:50,54,13,9,17,38,61,23,31,6,40,15,16,18,60,28,34,20,78,12,50
758133,24-07-19 17:55,54,27,59,26,66,14,60,6,4,67,42,76,39,36,53,79,23,22,70,61
758134,24-07-19 18:00,64,30,5,56,66,42,24,31,21,50,26,16,77,78,9,25,53,13,3,32
758135,24-07-19 18:05,76,72,48,73,65,44,45,21,24,63,26,5,52,58,17,40,38,23,20,57
758136,24-07-19 18:10,49,11,15,67,5,28,40,8,10,53,55,69,68,29,23,60,80,38,74,47
758137,24-07-19 18:15,63,53,49,66,21,34,48,71,31,60,9,68,57,15,78,51,4,79,3,22
758138,24-07-19 18:20,28,6,26,58,1,79,60,21,77,19,29,35,43,39,51,52,12,47,45,33
758139,24-07-19 18:25,66,59,68,9,20,3,33,1,39,14,74,11,16,29,78,36,53,51,6,67
758140,24-07-19 18:30,71,32,24,74,41,76,63,40,8,60,14,52,23,70,79,1,30,21,3,56
758141,24-07-19 18:35,19,47,34,80,53,4,60,65,14,30,79,11,37,78,58,63,42,26,45,62
758142,24-07-19 18:40,9,16,45,78,41,19,58,14,22,6,76,67,39,47,51,74,26,46,36,72
758143,24-07-19 18:45,76,43,8,46,37,49,13,39,40,10,74,21,64,26,2,51,36,33,70,58
758144,24-07-19 18:50,33,31,11,48,64,4,55,36,23,7,46,32,47,45,26,40,10,50,5,20
758145,24-07-19 18:55,14,75,79,71,29,17,62,52,45,69,78,27,70,6,59,9,10,37,1,50
758146,24-07-19 19:00,55,24,52,74,78,61,60,27,76,14,63,21,44,22,17,6,11,49,28,2
758147,24-07-19 19:05,36,21,44,75,12,48,63,37,26,19,76,10,29,2,24,41,38,50,39,22
758148,24-07-19 19:10,67,17,40,22,1,16,79,8,47,80,9,56,15,7,39,28,61,5,74,3
758149,24-07-19 19:15,12,6,43,18,42,41,60,67,14,17,37,21,59,73,22,26,68,8,45,47
758150,24-07-19 19:20,24,36,39,59,45,18,47,55,3,53,6,15,69,12,79,31,43,60,78,76
758151,24-07-19 19:25,8,40,31,38,77,35,16,63,68,42,49,27,56,78,22,41,12,75,21,29
758152,24-07-19 19:30,63,41,26,49,3,67,9,44,50,53,24,34,15,13,59,21,23,31,28,75
758153,24-07-19 19:35,73,2,56,7,47,70,4,78,26,10,55,74,45,38,43,66,58,54,53,5
758154,24-07-19 19:40,19,46,69,76,40,22,36,3,24,61,45,65,75,29,4,53,25,43,57,48
758155,24-07-19 19:45,37,73,50,27,13,32,21,38,69,70,5,16,28,43,63,18,76,15,66,20
758156,24-07-19 19:50,70,51,74,69,75,79,31,25,73,41,66,14,62,5,53,18,71,46,36,8
758157,24-07-19 19:55,21,65,79,56,49,10,46,77,73,7,61,33,78,14,3,45,32,15,44,22
758158,24-07-19 20:00,73,63,43,79,1,34,57,54,74,13,64,47,26,28,66,44,5,70,9,14
758159,24-07-19 20:05,70,54,68,71,24,30,60,57,27,48,9,23,58,74,41,22,12,28,17,51
758160,24-07-19 20:10,29,8,58,36,24,7,79,60,52,2,57,20,64,54,56,15,1,70,10,32
758161,24-07-19 20:15,73,51,8,9,21,46,79,7,22,63,19,68,64,23,20,67,28,45,31,59
758162,24-07-19 20:20,38,18,26,12,68,71,8,79,33,78,15,76,50,35,23,74,51,43,65,9
758163,24-07-19 20:25,18,78,45,53,63,56,5,76,72,49,1,25,6,57,79,54,37,23,48,40
758164,24-07-19 20:30,33,18,73,52,20,31,11,7,40,5,76,70,9,44,13,49,41,53,16,23
758165,24-07-19 20:35,47,17,49,54,6,71,66,80,52,78,36,23,55,79,2,7,1,25,75,61
758166,24-07-19 20:40,20,78,57,4,80,69,5,54,68,43,53,61,24,62,9,56,58,27,28,16
758167,24-07-19 20:45,26,56,6,51,43,74,35,30,68,67,72,5,69,18,23,37,10,48,41,57
758168,24-07-19 20:50,66,10,11,21,57,53,58,40,2,71,1,48,15,16,51,33,35,75,12,26
